[S-16D] [Google] [9] [0.4375] S:[2], I:[0], D:[12]
[S-16D] [Kaldi] [9] [0.40625] S:[10], I:[1], D:[2]
[S-16D] [Google] [10] [0.3333333333333333] S:[7], I:[1], D:[6]
[S-16D] [Kaldi] [10] [0.23809523809523808] S:[8], I:[1], D:[1]
[S-16D] [Google] [11] [0.2222222222222222] S:[4], I:[0], D:[14]
[S-16D] [Kaldi] [11] [0.2222222222222222] S:[11], I:[6], D:[1]
[S-16D] [Google] [12] [0.2553191489361702] S:[3], I:[0], D:[9]
[S-16D] [Kaldi] [12] [0.23404255319148937] S:[9], I:[2], D:[0]
[S-20D] [Google] [0] [0.5096525096525096] S:[59], I:[1], D:[72]
[S-20D] [Kaldi] [0] [0.38996138996138996] S:[59], I:[8], D:[34]
[S-20D] [Google] [1] [0.4] S:[70], I:[2], D:[50]
[S-20D] [Kaldi] [1] [0.26229508196721313] S:[45], I:[7], D:[28]
[S-20D] [Google] [2] [0.46078431372549017] S:[55], I:[1], D:[85]
[S-20D] [Kaldi] [2] [0.3104575163398693] S:[66], I:[3], D:[26]
[S-20D] [Google] [3] [0.41228070175438597] S:[44], I:[3], D:[47]
[S-20D] [Kaldi] [3] [0.3815789473684211] S:[58], I:[0], D:[29]
[S-20D] [Google] [4] [0.3598901098901099] S:[139], I:[10], D:[113]
[S-20D] [Kaldi] [4] [0.2815934065934066] S:[144], I:[19], D:[42]
[S-20D] [Google] [5] [0.39712918660287083] S:[71], I:[3], D:[92]
[S-20D] [Kaldi] [5] [0.2799043062200957] S:[76], I:[8], D:[33]
[S-20D] [Google] [6] [0.75] S:[4], I:[0], D:[23]
[S-20D] [Kaldi] [6] [0.7222222222222222] S:[20], I:[1], D:[5]
[S-20D] [Google] [7] [0.6875] S:[17], I:[0], D:[16]
[S-20D] [Kaldi] [7] [0.5416666666666666] S:[21], I:[2], D:[3]
[S-20D] [Google] [8] [0.45454545454545453] S:[6], I:[0], D:[4]
[S-20D] [Kaldi] [8] [0.3181818181818182] S:[4], I:[0], D:[3]
[S-20D] [Google] [9] [0.4625] S:[21], I:[2], D:[14]
[S-20D] [Kaldi] [9] [0.5375] S:[23], I:[11], D:[9]
[S-20D] [Google] [10] [0.5098039215686274] S:[28], I:[2], D:[22]
[S-20D] [Kaldi] [10] [0.45098039215686275] S:[33], I:[5], D:[8]
[S-20D] [Google] [11] [0.5068493150684932] S:[26], I:[1], D:[10]
[S-20D] [Kaldi] [11] [0.410958904109589] S:[21], I:[4], D:[5]
[S-29A] [Google] [0] [0.29918032786885246] S:[27], I:[2], D:[44]
